School_Year,Busbreakdown_ID,Run_Type,Bus_No,Route_Number,Reason,Schools_Serviced,Occurred_On,Created_On,Boro,Bus_Company_Name,How_Long_Delayed,Number_Of_Students_On_The_Bus,Has_Contractor_Notified_Schools,Has_Contractor_Notified_Parents,Have_You_Alerted_OPT,Informed_On,Incident_Number,Last_Updated_On,Breakdown_or_Running_Late,School_Age_or_PreK
2019-2020,1571144,Special Ed AM Run,19679,K219,Mechanical Problem,"190,071,900,919,089,000,000,000,000,000",09/04/2019 06:27:00 AM,09/04/2019 06:37:00 AM,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,09/04/2019 06:37:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1537778,Special Ed AM Run,467,K396,Problem Run,"2,201,422,286",04/02/2019 08:00:00 AM,04/02/2019 08:32:00 AM,Brooklyn,Y & M TRANSIT CORP (B2192),61-90 Min,13,Yes,Yes,No,04/02/2019 08:32:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1672692,Special Ed AM Run,5013,K900,Heavy Traffic,"1,445,914,465",10/20/2021 07:45:00 AM,10/20/2021 07:50:00 AM,Brooklyn,L & M BUS CORP (A),46-60 Min,7,Yes,Yes,No,10/20/2021 07:50:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1624493,Special Ed AM Run,5889D,Q671,Other,"2,681,726,918",01/31/2020 06:25:00 AM,01/31/2020 07:46:00 AM,Queens,LITTLE RICHIE BUS SERVICE,31-45 Min,0,No,Yes,No,01/31/2020 07:46:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1516230,Special Ed AM Run,4526,M313,Mechanical Problem,"41,080,437,504,486",02/06/2019 05:45:00 AM,02/06/2019 05:46:00 AM,Manhattan,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,02/06/2019 05:46:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2020-2021,1646243,Special Ed AM Run,19702,K243,Other,"2,100,121,724",03/17/2021 06:50:00 AM,03/17/2021 07:00:00 AM,Brooklyn,"BORO TRANSIT, INC.",31-45 Min,0,Yes,Yes,No,03/17/2021 07:00:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1577646,Special Ed AM Run,1840,L322,Heavy Traffic,"2,001,320,865",09/19/2019 08:01:00 AM,09/19/2019 08:02:00 AM,Brooklyn,B & F SKILLED INC.(B2192),16-30 Min,3,Yes,Yes,No,09/19/2019 08:02:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1680173,Special Ed AM Run,1441,N520,Heavy Traffic,2990,11/09/2021 06:50:00 AM,11/09/2021 06:51:00 AM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),46-60 Min,1,Yes,Yes,No,11/09/2021 06:51:00 AM,,11/09/2021 07:48:03 AM,Running Late,School-Age
2018-2019,1553806,Project Read PM Run,802,X627,Flat Tire,7497,05/21/2019 04:25:00 PM,05/21/2019 06:04:00 PM,Bronx,PRIDE TRANSPORTATION (SCH AGE),61-90 Min,0,No,No,Yes,05/21/2019 06:04:00 PM,90848777.0,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1696644,Pre-K/EI,6121,B0971A,Other,E220,01/26/2022 07:05:00 AM,01/26/2022 07:30:00 AM,Brooklyn,L & M BUS CORP.,61-90 Min,0,Yes,Yes,No,01/26/2022 07:30:00 AM,,01/26/2022 09:46:15 AM,Running Late,Pre-K
2021-2022,1713494,Special Ed AM Run,41302,K026,Heavy Traffic,"221,092,236,122,446",04/05/2022 06:33:00 AM,04/05/2022 06:33:00 AM,Brooklyn,EMPIRE CHARTER SERVICE INC,16-30 Min,2,No,No,No,04/05/2022 06:33:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1747568,General Ed AM Run,2302,X2009,Flat Tire,"803,612,613",10/04/2022 06:57:00 AM,10/04/2022 06:58:00 AM,Bronx,PIONEER TRANSPORTATION CORP,0-15 Min,0,Yes,No,No,10/04/2022 06:58:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2021-2022,1663509,Special Ed AM Run,61802,K061,Heavy Traffic,"130,671,343,313,461",09/20/2021 07:21:00 AM,09/20/2021 07:22:00 AM,Brooklyn,EMPIRE STATE BUS CORP.,16-30 Min,4,No,No,No,09/20/2021 07:22:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1462335,Special Ed AM Run,1302,R312,Heavy Traffic,"3,102,631,461",09/21/2018 08:04:00 AM,09/21/2018 08:05:00 AM,Staten Island,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,09/21/2018 08:05:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2018-2019,1493641,Special Ed PM Run,1315,M996,Heavy Traffic,"30,020,368,903,931",12/05/2018 01:14:00 PM,12/05/2018 01:16:00 PM,Manhattan,LEESEL TRANSPORTATION CORP (B2192),31-45 Min,1,Yes,Yes,No,12/05/2018 01:16:00 PM,,12/05/2018 01:19:38 PM,Running Late,School-Age
2019-2020,1590740,General Ed AM Run,20382,K2157,Mechanical Problem,"207,042,075,021,013",10/24/2019 05:44:00 AM,10/24/2019 05:47:00 AM,Brooklyn,SNT BUS INC,31-45 Min,0,Yes,No,No,10/24/2019 05:47:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1821193,Special Ed AM Run,1148,R026,Heavy Traffic,"310,453,106,131,448",05/10/2023 05:51:00 AM,05/10/2023 05:51:00 AM,Staten Island,PIONEER TRANSPORTATION CORP,31-45 Min,0,No,No,No,05/10/2023 05:51:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2022-2023,1766412,Special Ed AM Run,5594,Q183,Heavy Traffic,"245,302,453,524,539",11/14/2022 06:39:00 AM,11/14/2022 06:40:00 AM,Queens,NYC SCHOOL BUS UMBRELLA SERVICES,31-45 Min,0,Yes,Yes,Yes,11/14/2022 06:40:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
2019-2020,1595770,Special Ed AM Run,2826,L618,Heavy Traffic,"13,029,130,541,344,600,000",11/04/2019 07:16:00 AM,11/04/2019 07:18:00 AM,Brooklyn,"RELIANT TRANSPORTATION, INC (B2321)",31-45 Min,0,Yes,Yes,Yes,11/04/2019 07:18:00 AM,,01/01/1900 12:00:00 AM,Running Late,School-Age
